Question,answer
What does Black Pepper Beef taste like?,Savory umami with a peppery kick; not chili-hot.
How much is Ayam Masak Merah?,Ayam Masak Merah is RM23. Tomato-chili braised chicken—sweet & spicy.
Price of ayam masak merah?,Ayam Masak Merah costs RM23.
Berapa harga Ayam Masak Merah?,Ayam Masak Merah berharga RM23.
Is Ayam Masak Merah spicy?,Medium spicy with a sweet tomato base (pedas manis).
What does Ayam Masak Merah taste like?,Sweet and spicy tomato-chili sauce on tender chicken.
How much is Vegetable Pad Thai?,Vegetable Pad Thai is RM18. Rice noodles with veggies and peanuts; savory and mild.
Price of veg pad thai?,Vegetable Pad Thai costs RM18.
Berapa harga Vegetable Pad Thai?,Vegetable Pad Thai berharga RM18.
Is Vegetable Pad Thai spicy?,It’s mild by default; we can add chili on request.
Is Vegetable Pad Thai vegetarian?,Yes—it's vegetarian (no meat). Please tell us if you need it fully vegan.
Do you have something sweet and spicy?,Yes—try Ayam Masak Merah (sweet & spicy) or Spicy Sambal Prawns if you want more heat.
I like sweet and spicy food—what do you recommend?,Ayam Masak Merah matches sweet & spicy; Honey Butter Fried Chicken (sweet) + add chili flakes for a kick.
Not spicy please. Any sweet dish?,Honey Butter Fried Chicken or Mango Sticky Rice are sweet and not spicy.
Recommend something spicy seafood?,Spicy Sambal Prawns or Tom Yum Soup are great spicy seafood choices.
Any peppery but not too hot dish?,Black Pepper Beef is peppery and generally mild.
Any mild vegetarian noodle?,Vegetable Pad Thai is a mild, vegetarian noodle dish.
Do you have a vegan dessert?,Yes—Mango Sticky Rice is vegan (coconut milk) and sweet.
Is Tom Yum Soup halal friendly?,We select halal-friendly ingredients; please inform us of any dietary needs.
Do you have gluten-free options?,Mango Sticky Rice is naturally gluten-free; Tom Yum (without noodles) may suit some gluten-free diets—please check with staff.
What are your best sellers?,Customer favorites include Honey Butter Fried Chicken, Spicy Sambal Prawns, and Tom Yum Soup.
Any combo recommendation?,Pair Tom Yum Soup with Honey Butter Fried Chicken, or Black Pepper Beef with Vegetable Pad Thai for a balanced meal.
What’s a good dessert after spicy food?,Mango Sticky Rice balances spicy dishes with something sweet and cooling.
Can I get less spicy Tom Yum?,Yes—request “less chili” and we’ll tone it down.
Can I add extra chili to Pad Thai?,Yes—tell us “extra chili” and we’ll make it spicier.
Do you have kids-friendly options?,Honey Butter Fried Chicken (sweet, not spicy) and Vegetable Pad Thai (mild) are kids-friendly choices.
How big are the portions?,Main dishes serve one hungry adult; Tom Yum Soup is a hearty bowl; Mango Sticky Rice is one dessert portion.
Do you have any promotions today?,Ask our staff for today’s specials; we often feature a set with Tom Yum + main at a promo price.
What time do you open?,We open daily at 11:00 AM.
What time do you close?,We close at 10:00 PM from Monday to Sunday.
What are your opening hours?,Our opening hours are 11:00 AM to 10:00 PM every day.
Are you open on weekends?,Yes—we are open on both Saturday and Sunday (11:00 AM to 10:00 PM).
Are you open on public holidays?,Yes, we are open on most public holidays unless announced otherwise.
Do you serve lunch?,Yes—we serve lunch starting from 11:00 AM.
Do you serve dinner?,Yes—dinner service runs until 10:00 PM.
List all the acceptable payment methods,We accept cash, credit/debit cards (Visa, MasterCard), contactless PayWave, Apple Pay, Google Pay, and popular e-wallets like Touch ’n Go and GrabPay.
What payment methods do you accept?,We accept cash, credit/debit cards (Visa, MasterCard), contactless PayWave, Apple Pay, Google Pay, and e-wallets like Touch ’n Go and GrabPay.
Tell me all the ways I can pay,We accept cash, Visa/MasterCard credit and debit cards, Apple Pay, Google Pay, and e-wallets (Touch ’n Go, GrabPay).
How can I pay?,You can pay with cash, card, e-wallets, or contactless methods like Apple Pay and Google Pay.
payment method?,We accept cash, credit/debit cards, and e-wallets (Touch ’n Go, GrabPay).
talk about payment method u have?,We accept cash, credit/debit cards, and e-wallets (Touch ’n Go, GrabPay).
What payment methods do you accept?,We accept cash, credit/debit cards, and e-wallets (Touch ’n Go, GrabPay).
Can I pay with credit card?,Yes—you can pay with Visa and MasterCard credit or debit cards.
Do you accept cash?,Yes—we accept cash payments.
Do you accept e-wallets?,Yes—we accept popular e-wallets like Touch ’n Go and GrabPay.
Can I pay with QR code?,Yes—we support QR code payment through local e-wallets.
Do you accept online banking?,Currently we don’t support direct online banking transfers—please use cash, card, or e-wallet.
Is there a minimum spend for card payment?,No—there’s no minimum spend for card payments.
What is your best seller?,Our best sellers are Honey Butter Fried Chicken, Spicy Sambal Prawns, and Tom Yum Soup.
What are your most popular dishes?,Customer favorites include Honey Butter Fried Chicken, Spicy Sambal Prawns, and Tom Yum Soup.
Which dish do you recommend?,We recommend trying our signature Honey Butter Fried Chicken or the classic Tom Yum Soup.
Can you suggest me something?,Sure—our best sellers are Honey Butter Fried Chicken, Spicy Sambal Prawns, and Mango Sticky Rice for dessert.
What is the chef’s recommendation?,The chef recommends Ayam Masak Merah for sweet & spicy lovers and Tom Yum Soup for spicy-sour fans.
Any special dishes I should try?,Yes—don’t miss our Spicy Sambal Prawns and Honey Butter Fried Chicken; they are crowd favorites.
Which dessert is most popular?,Mango Sticky Rice is our most popular dessert—sweet, creamy, and vegan-friendly.
Can I have a reservation for today?,You can call our customer service at 03-630 1188 for reservations.
Book me a table,You can call our customer service at 03-630 1188 for reservations.
Can I book a table?,You can call our customer service at 03-630 1188 for reservations.
I want to reserve a table,You can call our customer service at 03-630 1188 for reservations.
How much is Honey Butter Fried Chicken?,Honey Butter Fried Chicken is RM22 per serving.
Price of honey butter chicken?,Honey Butter Fried Chicken costs RM22.
Berapa harga Honey Butter Fried Chicken?,Honey Butter Fried Chicken berharga RM22.

How much is Spicy Sambal Prawns?,Spicy Sambal Prawns are RM28.
Price of sambal prawns?,Spicy Sambal Prawns cost RM28.
Berapa harga Sambal Udang?,Sambal Udang (Spicy Sambal Prawns) berharga RM28.

How much is Tom Yum Soup?,Tom Yum Soup is RM20.
Price of tom yam soup?,Tom Yum Soup costs RM20.
Berapa harga Tom Yum Soup?,Tom Yum Soup berharga RM20.

How much is Mango Sticky Rice?,Mango Sticky Rice is RM12.
Price of mango sticky rice?,Mango Sticky Rice costs RM12.
Berapa harga Mango Sticky Rice?,Mango Sticky Rice berharga RM12.

How much is Black Pepper Beef?,Black Pepper Beef is RM26.
Price of black pepper beef?,Black Pepper Beef costs RM26.
Berapa harga Black Pepper Beef?,Black Pepper Beef berharga RM26.

How much is Ayam Masak Merah?,Ayam Masak Merah is RM23.
Price of ayam masak merah?,Ayam Masak Merah costs RM23.
Berapa harga Ayam Masak Merah?,Ayam Masak Merah berharga RM23.

How much is Vegetable Pad Thai?,Vegetable Pad Thai is RM18.
Price of veg pad thai?,Vegetable Pad Thai costs RM18.
Berapa harga Vegetable Pad Thai?,Vegetable Pad Thai berharga RM18.
Do you have any promotion today?,Yes—we often feature a set meal promotion (Tom Yum Soup + a main dish) at RM38. Please ask our staff for today’s specials.
Any current offers?,Yes—we have a combo set with Honey Butter Fried Chicken + Mango Sticky Rice dessert for RM30.
Are there any discounts available?,Currently we offer 10% off for students with valid ID.
Do you have lunch set promotions?,Yes—our lunch set includes Black Pepper Beef with rice and a drink for RM25.
Do you have dinner promotions?,Yes—our dinner promotion includes Spicy Sambal Prawns + Tom Yum Soup for RM40.
Is there a family meal promotion?,Yes—we have a Family Set for 4 people: Ayam Masak Merah, Tom Yum Soup, Vegetable Pad Thai, and Mango Sticky Rice for RM98.
Any weekend specials?,Yes—we serve a weekend special platter featuring 3 mains and 2 desserts at RM85.
Do you have a dessert promotion?,Yes—buy 2 Mango Sticky Rice and get 1 free (weekdays only).
Are there seasonal promotions?,Yes—we sometimes offer seasonal dishes and discounts; please check with our staff for the latest.
any drink suggestion?,"We have coffe and milkshakes.What would you like to have?" 
What payment methods do you accept?,We accept cash, credit/debit cards, and e-wallets (Touch ’n Go, GrabPay).
Which payment methods are available?,You can pay by cash, card, or e-wallet.
What kind of payments do you take?,We accept cash, Visa/MasterCard, and e-wallets.
Can I pay with cash?,Yes—we accept cash.
Can I pay by card?,Yes—we accept credit and debit cards (Visa, MasterCard).
Do you take debit cards?,Yes—we accept both debit and credit cards.
Do you accept credit cards?,Yes—we accept Visa and MasterCard.
Can I pay by QR code?,Yes—we support QR code payments through local e-wallets.
Do you accept e-wallets?,Yes—we accept Touch ’n Go and GrabPay e-wallets.
Is online banking accepted?,Currently we don’t support direct online banking; please use card or e-wallet.
Are international cards accepted?,Yes—we accept major international Visa and MasterCard.
Can I use PayWave / contactless?,Yes—contactless card payment is supported.
Do you accept Apple Pay or Google Pay?,Yes—we accept Apple Pay and Google Pay.
payment method?,We accept cash, credit/debit cards, and e-wallets (Touch ’n Go, GrabPay).
how can i pay?,We accept cash, credit/debit cards (Visa, MasterCard), contactless PayWave, Apple Pay, Google Pay, and e-wallets like Touch ’n Go and GrabPay.
how do i pay?,We accept cash, credit/debit cards (Visa, MasterCard), contactless PayWave, Apple Pay, Google Pay, and e-wallets like Touch ’n Go and GrabPay.
how can we pay?,We accept cash, credit/debit cards (Visa, MasterCard), contactless PayWave, Apple Pay, Google Pay, and e-wallets like Touch ’n Go and GrabPay.
mode of payment?,We accept cash, credit/debit cards (Visa, MasterCard), contactless PayWave, Apple Pay, Google Pay, and e-wallets like Touch ’n Go and GrabPay.
acceptable payment method?,We accept cash, credit/debit cards (Visa, MasterCard), contactless PayWave, Apple Pay, Google Pay, and e-wallets like Touch ’n Go and GrabPay.
where is the restaurant?,Our restaurant is near at the Kajang MRT, just need 5 minute walking can be reach.

